summary,mask_perimeter,mask_area,mask_compactness,mask_convexity,mask_solidity,bending_energy,total_abs_curv,nearest_boundary_score_slope,nearest_boundary_score_err,convex_overlap,surroundedness_degree,case
min,94.42640614509583,398.0,0.00816049279786579,0.16385055244671914,0.33535762483130904,1.7086752619385948,0.7618362184955249,83.79646954157701,0.6113850877574173,0.0,0.0,16
25%,211.24368458986282,506.0,0.08696768144127628,0.4803481191008061,0.4922255852466396,3.253936024470117,1.079852748272042,121.17185474140963,3.1944908837450567,0.010866546088753957,0.0,16
50%,274.6848095059395,788.0,0.1264615582134599,0.5505036680069968,0.5660971573208723,3.6813149255792297,1.182361747319033,139.20314227213592,7.088106594701488,0.034167191131024004,0.7281338646454212,16
75%,426.37645640969276,1406.0,0.16713520403786744,0.615758115457829,0.6474716050500022,4.145390140311004,1.2556473479281913,166.35901199274286,14.255155347822711,0.08096880274722076,0.754394430255584,16
max,10362.466412305832,86760.0,0.5862951114188016,0.8403969215205116,0.9234184239733629,5.531260730982414,1.5401963983508402,554.4725387959635,76.90547649428012,0.5290215588723052,0.9262817687948308,16
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17
mean,251.862792699337,3814.37,0.5883939059965482,0.8527708152349576,0.96080663109559,3.753681632390863,1.114225263886583,192.77394375820057,33.33462101343011,0.06750149659827544,0.045884370093393426,17
std,1515.5507288087354,31749.387560992112,0.26860009025944886,0.12626623469861586,0.19947348209813223,1.9295008100065119,0.3721632912617439,78.12240678702804,44.746356176068275,0.1378616606765716,0.18450606411032572,17
min,18.485281229019165,32.0,0.017576274799400583,0.2251512174637797,0.4952008718148911,0.933183749461974,0.5306744347280056,74.04633749482484,0.6892821172285032,0.0,0.0,17
25%,32.97056245803833,53.75,0.38205520935911985,0.8108595609485336,0.8240612881868912,2.278975251221487,0.8321601232357176,137.63377415101232,3.6411706301316986,0.0,0.0,17
50%,47.041630148887634,100.0,0.5602572253332998,0.8836712989136737,0.9962406015037594,3.22736361910924,1.012290966156711,181.82740494886826,13.55694784800986,0.0,0.0,17
75%,74.18376553058624,196.0,0.812511590561962,0.9395154418291588,1.0903108843080642,5.384819164957403,1.4492862968465223,239.31718664922295,49.060957660618676,0.04073142414860681,0.0,17
max,15042.694231033325,316496.0,1.176813706398625,0.9903628445987612,1.3617021276595744,8.574218823446381,2.056995189850459,349.1027660079582,216.16181277451443,0.647887323943662,0.9883521966006701,17
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18
mean,554.3739544761181,2475.03,0.17269341539924843,0.5745232386604359,0.5939976641673427,3.4737896979053136,1.0971551899125855,243.25196546807777,39.61396073357393,0.02002829628794841,0.2188221312570469,18
std,1302.7188531020308,7799.189633448134,0.10096051882705473,0.149824418526055,0.12004209356077042,0.7603005138651953,0.15723880122937073,96.58392302624856,48.093788936139696,0.05028149744299685,0.33714360967835105,18
min,99.39696860313416,302.0,0.006449560659779146,0.13774841032512108,0.3808167141500475,1.3680147229332524,0.6397194717995344,88.9546386097769,0.6462261818105685,0.0,0.0,18
25%,163.5703265964985,409.5,0.1017641753616118,0.49680104669698527,0.5088789596810035,3.02086840325666,1.000828445918059,195.4916194066864,6.4203041422642295,0.0,0.0,18
50%,230.1787132024765,657.0,0.15551135239840022,0.5922409055307146,0.5841941884717667,3.4574176873216462,1.0982990806564907,229.85633826092555,31.332311855869555,0.0,0.0,18
75%,378.15284579992294,1317.75,0.23650707550278077,0.6751397440494858,0.6772127531272065,3.84842390505708,1.172104648983896,260.71568406995857,51.17369679318362,0.01582977225122656,0.7018732990352584,18
max,11325.784296512604,65835.0,0.4592625007273795,0.8665337047973131,0.8486416558861578,5.771449700062312,1.5612183004120008,642.017775553664,356.4847345260496,0.3157894736842105,0.783042320012125,18
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,19
mean,560.6171717262268,3083.29,0.20159999977341644,0.5885599348249478,0.6402741335088785,3.330247988324569,1.0464178955436068,147.18082792155997,10.40764679279604,0.06311287396170538,0.36545158032761,19
std,769.1330410843749,5728.706124819588,0.13640710748677473,0.17393129744161306,0.1327591140420444,0.7903016943799461,0.1527133585674775,38.189824765961504,13.542074213808023,0.10851084110449587,0.37528944203669906,19
min,75.5979790687561,246.0,0.021795575596607213,0.2282923574079803,0.38483353884093713,0.8314068924830709,0.6260420143023137,85.55513724004163,0.4193492591173664,0.0,0.0,19
25%,139.1855506002903,403.0,0.0789905696208638,0.42184118375474533,0.5342622464449397,2.932862567036153,0.9617466986492518,122.83111845834587,1.971058729119607,0.0,0.0,19
50%,219.9863252043724,713.5,0.18509327383064716,0.5964925683898803,0.6298389247544951,3.297652957366522,1.0454361444952456,144.02121983049767,5.978276682565141,0.010511811023622048,0.0,19
75%,638.971909314394,2848.5,0.2830019699948171,0.7278993550324987,0.737285051476145,3.7791559628787024,1.113380385929715,167.5456537136139,11.600706154525342,0.06438769502502208,0.7496197819628271,19
max,4117.268572449684,33270.0,0.5716929548872249,0.8814870052891841,0.9314079422382672,5.200685939798164,1.449965840118366,268.40006111471325,76.55515832421369,0.5095613048368954,0.8498873961107211,19
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20
mean,217.56803758263587,966.1,0.3503242315483218,0.732597832237767,0.7424453109147562,2.9899613870489588,0.9567456546580506,228.5879112224471,57.84815108674873,0.0020648015591138917,0.06016056848873644,20
std,263.30416326695683,1646.7688564782452,0.20365174033990113,0.1460999643433228,0.16820622593244228,1.0345386140483144,0.20110264515575238,73.72197267010797,85.53564871435107,0.014439037695045552,0.2050444467728596,20
min,46.62741661071777,153.0,0.04231207288781283,0.2970266992811348,0.3731028111389732,0.6572994734332052,0.5021398093852538,94.71211742683082,0.8849437074897153,0.0,0.0,20
25%,82.37615352869034,223.25,0.20219587323581595,0.641997683221925,0.607171036068844,2.4270880865144644,0.8290466938667664,171.11710283767238,4.343978456816773,0.0,0.0,20
50%,115.93250244855881,341.5,0.32498776520822803,0.7558631770237831,0.7405373067953507,2.940299672003749,0.9558053906973878,236.04864102880362,8.770430562570976,0.0,0.0,20
75%,222.33987858891487,935.25,0.46093647138827437,0.8306803795530171,0.8623805174558683,3.492672249584156,1.0626759917135993,268.41101739389796,70.07930818036361,0.0,0.0,20
max,1973.6652059555054,13116.0,0.9883784467025221,0.9677745810748871,1.0961538461538463,6.693481708185603,1.5707963267948961,402.766712922771,328.5684815625712,0.1388888888888889,0.754394430255584,20
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
mean,19.25530210852623,23.43,0.8533337281046498,0.8902195807036841,1.3869448521576797,4.800065251620675,1.494469925234042,122.8083714816767,58.99007651632337,0.03601388888888889,0.11912747490428366,21
std,13.68002560861841,27.41350216608781,0.33331794221967165,0.08087037480688558,0.39041662522715903,2.5014409171515726,0.5088192401602101,124.92767778985052,223.63075055519678,0.11088892188838465,0.2744726508227179,21
min,6.828427076339722,6.0,0.17277231844045074,0.6005054245511824,0.5045045045045045,1.2337005501361697,0.6357985132265058,38.504524745787215,0.19615665971900395,0.0,0.0,21
25%,12.485281229019165,9.75,0.6109380603510575,0.8407263091106832,1.1634569090033704,2.971162158244609,1.1404139998826586,74.44372232290335,1.8261914803751178,0.0,0.0,21
50%,15.899494767189026,16.5,0.8262603599364025,0.9100330781852641,1.3141447368421053,4.317951925476594,1.4186254326366408,87.04611773500224,3.5846503336937197,0.0,0.0,21
75%,22.435028612613678,26.0,1.0323835882276677,0.9558747350773416,1.5467032967032968,6.058840479557634,1.7716083572090169,97.1790300715255,6.429233673486599,0.0,0.0,21
max,107.53910398483276,216.0,1.8865423223315232,1.0,2.6666666666666665,17.58023283944042,3.9269908169872414,640.4487997019454,1067.1815274378946,0.6,0.754394430255584,21
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22
mean,133.5828803420067,831.47,0.4822981053711017,0.8280920541413743,0.8796748062148961,3.6983032971217336,1.0991845570940482,186.7548718881076,34.601265582892005,0.08989319605948241,0.1358387439289327,22
std,361.22686956372877,5313.265469425168,0.232342004235322,0.13430886128023936,0.19918394128864808,1.5136587841407052,0.2931794682851299,79.4786787191858,38.37985066977164,0.1659150293529835,0.2914399773591469,22
min,28.14213538169861,58.0,0.03414112549872571,0.3090065766432823,0.32740286298568505,0.8598518985797547,0.3807991095260355,88.62751749641964,0.7671750958602949,0.0,0.0,22
25%,40.041630148887634,77.0,0.30949537711895886,0.7826731491699573,0.7312244732457498,2.5009490976883226,0.9004834205938447,124.47462640808043,4.9993616337023905,0.0,0.0,22
