summary,whole_brain_area,whole_tumor_area,invasion_count_cnt,invasion_count_min_area,invasion_count_max_area,invasion_count_med_area,delaunay_score_min,delaunay_score_quartile1,delaunay_score_median,delaunay_score_quartile3,delaunay_score_max,tumor_components_cnt,tumor_components_min_area,tumor_components_max_area,tumor_components_med_area,interface_ellipse_eccent_quants_0.1,interface_ellipse_eccent_quants_0.5,interface_ellipse_eccent_quants_0.9,interface_ellipse_area_quants_0.1,interface_ellipse_area_quants_0.5,interface_ellipse_area_quants_0.9,cooccurrence_mat_0,cooccurrence_mat_1,cooccurrence_mat_2,cooccurrence_mat_3,cooccurrence_mat_4,cooccurrence_mat_5,cooccurrence_mat_6,brain_compactness,brain_convexity,brain_solidity,convex_overlap,filled_overlap_cnt,filled_overlap_min_area,filled_overlap_max_area,filled_overlap_med_area,case
std,165617.85947724144,158214.4728880335,2.6204325342711394,3.6695057018221418,3.6667547424364906,3.6653048580264933,329.2383894071332,322.9118071210977,319.4402367175722,322.9486261299786,371.43547175382764,38.01732061398681,11.032191047550667,2013.2922952378403,83.17862087458926,0.0008937654716380534,0.0010907855942478217,0.004465915834793256,59.60705576437011,275.5248303492336,984.2163688388472,0.16154814372091864,0.028053579028268594,0.032324756954122645,0.019095813827424087,0.03988775468952711,0.033945627573659355,0.17364209601845848,0.0375153911755103,0.10211466851159245,0.08924701670022143,0.18106906789689042,28.69030033536305,67.02082938664203,101.40769670606866,72.68944714045189,2
min,2866.9483728102377,900.2170851402816,0.0,0.0,0.0,0.0,4.628699779510498,10.881211996078491,23.059738159179688,29.107826232910156,91.71810913085938,2.0,0.6786912585190178,31.888265597845503,5.296439474434732,0.0020956682373200965,0.004919573803361582,0.00837269624167516,7.324733458442385,29.03985843115342,70.68125543000735,0.0958904109589041,0.016774193548387096,0.0022123893805309734,0.011061946902654867,0.004424778761061947,0.017699115044247787,0.08774193548387096,0.01251129120053004,0.17753870013673814,0.3738428693368481,0.0007624995997862243,0.0,0.0,0.0,0.0,2
25%,42593.21263980606,41482.27411516039,0.75,0.43864230261104886,0.4863134187035262,0.4863134187035262,8.186466455459595,25.953238606452942,43.790921688079834,76.57911348342896,271.9750099182129,14.75,1.9916359788895641,254.4936955745844,17.58448347406537,0.002864082592926013,0.005508335512484712,0.011173475869298273,17.821706010880405,81.1414204479629,361.81999244013184,0.24458724600774576,0.057689320388349515,0.03282989680229599,0.034693472466398236,0.04190977602479222,0.054908424131937084,0.21514911272964118,0.021445483050270654,0.24049467914862943,0.4862722326415408,0.04683476493429671,4.5,9.527932696685008,38.73724634406196,12.850539128191366,2
50%,142862.12584608363,89279.76570117983,1.0,0.9739520761449534,1.227891839435446,1.0260681656732236,10.937498092651367,37.477173805236816,74.7685546875,125.0160436630249,472.6867370605469,32.5,4.7385253737233555,889.0092862513982,40.9065647363483,0.003233542569206455,0.005991386983591641,0.012266056604950788,41.932513795591575,223.21060012957903,731.4388181085828,0.26690619407825333,0.06770484906584275,0.05002042910476856,0.05021359223300971,0.06634709975138171,0.08076087577888298,0.3455745205730621,0.03476820775487179,0.3008322876486456,0.5305707709240087,0.17903612994765258,7.5,24.725915729876796,104.12390234125601,36.12833544146902,2
75%,315048.4142382693,287944.0482363639,3.0,2.529914312125406,3.6018041141444535,2.8681502938134007,29.237845420837402,79.4662733078003,127.8641185760498,220.7447910308838,810.5187683105469,69.75,17.74763952588895,1201.4658771695908,93.48623581212036,0.004134275763535248,0.006739061486643128,0.014796922439703788,85.45243936531429,496.2705863755357,1084.2372007719555,0.4024060942149399,0.08590726580413557,0.0697215468868565,0.06394678867988476,0.09309384123063104,0.10288028279504001,0.5257533980582524,0.06467933040192392,0.40344855632720694,0.5784128527014388,0.31304236294652743,56.25,82.8945634743228,227.65321050612712,111.5241395718184,2
max,490540.43701362377,503778.34847590904,7.0,12.178839573015798,12.178839573015798,12.178839573015798,1332.2767588383488,1332.2767588383488,1332.2767588383488,1332.2767588383488,1332.2767588383488,113.0,41.220803357762,8323.100156462817,301.4065141519558,0.0049826190984403225,0.008558801344935233,0.027460566222767956,198.67746956779774,823.3707473996881,3590.4355752944066,0.7561290322580645,0.11411042944785275,0.12378779235596121,0.07358813462635481,0.1392,0.12131147540983607,0.7287671232876712,0.1594357707336091,0.4965352446261378,0.7653514342018831,0.6155445801923577,76.0,239.16310108173514,308.366656909667,252.51864136965003,2
count,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3
mean,87398.74214591336,262077.13288312432,3.4615384615384617,1.362268903999001,1.889443568185529,1.553824373390615,258.24903596898724,287.1890332018645,316.7009767989245,364.10493974119464,739.7041086653796,52.84615384615385,29.857372257050294,1427.0927419607506,86.34932420802625,0.0038307462817355866,0.006773654687568612,0.020510529559340303,27.389277825685284,256.6337251346393,883.0680142817914,0.5089988428430136,0.05866466285758286,0.10278845351486326,0.052933360017839506,0.04012064431928541,0.04980113149957465,0.18669290494784077,0.1106869991222483,0.45331582460029324,0.5893674149953512,0.3096579328945257,50.61538461538461,34.79749553279217,144.8351076788059,48.700644373556166,3
std,88449.22404598152,302003.33199625276,4.175631381707135,2.506814284478906,3.188380136866222,2.837316108743114,583.5357930808991,571.9607163351405,561.2529894937513,544.1238632829969,560.8995631750283,60.31700444850544,80.52118302040014,2439.379658228968,136.96767423828013,0.0010930424122393017,0.0015783412022303536,0.013177011399878721,27.826189103568332,270.96405189929544,919.3378539991896,0.1430277309004248,0.02841319491520393,0.10398828128397326,0.04538625214225368,0.02970685230303527,0.027985169819486382,0.16753384533469245,0.09074800841530913,0.16470642424485926,0.12973379849990524,0.2336994883566088,71.01940868703717,42.170251143694095,178.33247863406044,58.69488036357126,3
min,4752.199305744152,34715.90816344809,0.0,0.0,0.0,0.0,3.465214252471924,13.223763465881348,20.6019287109375,33.79764175415039,176.8329620361328,0.0,0.0,0.0,0.0,0.002451517537831616,0.0052806669302542285,0.010637091861367872,6.239932553652421,34.9537991990099,58.7193460226966,0.17725752508361203,0.024164889836531627,0.0,0.0033444816053511705,0.005194805194805195,0.006688963210702341,0.016965584100824042,0.014977925669388511,0.25882055305527046,0.4199632052895854,0.015906671501936056,0.0,0.0,0.0,0.0,3
25%,12340.381041376973,60632.04130434023,0.0,0.0,0.0,0.0,5.338501930236816,21.1097469329834,40.09901428222656,78.04150390625,234.18919372558594,19.0,0.5213963255174339,56.22943386425155,5.539835958622735,0.003163745814601551,0.005568654789804447,0.012800341242771324,8.489657035933574,45.589591212430626,138.16399458110368,0.4949670253384242,0.03694331983805668,0.025303643724696356,0.028594122319301033,0.011133603238866396,0.030561478322672354,0.07478890229191798,0.03729881519447008,0.2928808493909781,0.4868716831979906,0.12610813637924193,8.0,5.447774809399101,40.57373675561149,8.369013928929592,3
50%,24068.372913778356,82136.94225697349,2.0,0.4424148332473793,0.8426137046308529,0.5213909624060511,12.257721900939941,51.102155685424805,78.10400390625,132.47483825683594,650.0394897460938,36.0,1.0805864283913589,567.1702575958032,17.684954671797865,0.0034572416004657433,0.00645285559048009,0.015390688556423265,16.485266481264524,113.47397033856049,351.71130218610574,0.5610030994646379,0.053237410071942444,0.05866018743491843,0.03606649760495914,0.03741007194244604,0.05755395683453238,0.1453534551231136,0.10092350905313108,0.44575673318776804,0.5739766750514521,0.27215745267644476,21.0,6.0395764583151506,63.07033409026959,9.469399830409458,3
