feature,domin_s,high_s,total
convex_overlap_max,0.0007988181764991421,0.8765534749607503,0.002437131406493992
convex_overlap_mean,0.03671775895962423,0.19921484642199697,0.09481877185368566
convex_overlap_min,0.3049496619418194,0.4425435936475333,0.34687962807509226
convex_overlap_std,0.0034231061776259235,0.16960822162142458,0.0065029090385068595
cooccurrence_mat_0_25%,0.722827535775162,0.35934670257699214,0.6958305233467887
cooccurrence_mat_0_50%,0.4545871214159661,0.20297695305193145,0.47576482198825076
cooccurrence_mat_0_75%,0.6759682069340375,0.04147543038245742,0.4409154544086599
cooccurrence_mat_0_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
cooccurrence_mat_0_max,0.7238931841747183,0.3052938258688594,0.37357985101529684
cooccurrence_mat_0_mean,0.7479665828696177,0.1098513392908938,0.5215354378437416
cooccurrence_mat_0_min,0.6309973011943901,0.18169815718278146,0.8456304600691632
cooccurrence_mat_0_std,0.9784195284887719,0.1368745960396994,0.46483306201925756
cooccurrence_mat_1_25%,0.8062598756521195,0.4159465172864241,0.9988251317922373
cooccurrence_mat_1_50%,0.8484258823047557,0.199027603667935,0.9918840869031004
cooccurrence_mat_1_75%,0.46465307308115195,0.4045701632344011,0.9846251405429305
cooccurrence_mat_1_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
cooccurrence_mat_1_max,0.6987015784647331,0.4564759077724813,0.15013905407838762
cooccurrence_mat_1_mean,0.7512045389632912,0.46373710238408233,0.7831143669439272
cooccurrence_mat_1_min,0.936204403164774,0.9430814713658267,0.7371914930782507
cooccurrence_mat_1_std,0.5601138199194428,0.45797323363639403,0.3305992050356356
cooccurrence_mat_2_25%,0.4944451527639522,0.7648901693875833,0.9045985058797327
cooccurrence_mat_2_50%,0.7353520653013211,0.9547432259088886,0.6536078127535754
cooccurrence_mat_2_75%,0.36080967142479703,0.9585271925432085,0.35080419548304687
cooccurrence_mat_2_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
cooccurrence_mat_2_max,0.10640641424539579,0.6701761946749316,0.35315753266496985
cooccurrence_mat_2_mean,0.5734064869423344,0.9460842172143387,0.35047718811593565
cooccurrence_mat_2_min,0.925094232871369,0.6740581538870072,0.8059291125118158
cooccurrence_mat_2_std,0.06607462043604788,0.8779150673747296,0.1507572445701507
cooccurrence_mat_3_25%,0.9927871610422038,0.42257516154088415,0.9296321350946287
cooccurrence_mat_3_50%,0.6157605499962536,0.728102920158182,0.48150488474530023
cooccurrence_mat_3_75%,0.6040710807201634,0.6587844599379368,0.22984854455196904
cooccurrence_mat_3_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
cooccurrence_mat_3_max,0.23837839631467675,0.5064818647076996,0.2819224000430451
cooccurrence_mat_3_mean,0.7029086216688185,0.9235077062025369,0.39794865366563903
cooccurrence_mat_3_min,0.3577572868345126,0.9429152969129178,0.9038485813938333
cooccurrence_mat_3_std,0.17715952887051917,0.9353799384432198,0.07727893028040557
cooccurrence_mat_4_25%,0.8840264512211872,0.8840177275804928,0.6684396906516585
cooccurrence_mat_4_50%,0.6270708551327191,0.8687549456285651,0.49484923310472495
cooccurrence_mat_4_75%,0.6459696546048526,0.8373579858974541,0.48893407982426557
cooccurrence_mat_4_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
cooccurrence_mat_4_max,0.7216438259198653,0.8175058113851488,0.39386457233194494
cooccurrence_mat_4_mean,0.5147251068770504,0.8257358852791602,0.36193410534773807
cooccurrence_mat_4_min,0.24209067988014332,0.12744240115124203,0.6714596295269846
cooccurrence_mat_4_std,0.3930484144950914,0.3217208949344865,0.2712681607304485
cooccurrence_mat_5_25%,0.9774762915944076,0.23753623618177744,0.7723528635562108
cooccurrence_mat_5_50%,0.8962577531914772,0.06884678723308103,0.8815246877646296
cooccurrence_mat_5_75%,0.9300731246413867,0.247987010163284,0.892540909349422
cooccurrence_mat_5_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
cooccurrence_mat_5_max,0.2486418426917683,0.2520920697005032,0.29177698604917324
