feature,domin_s,high_s,total
brain_area_20%,-0.10840374147264153,0.32088140147364974,0.044531176693792
brain_area_40%,-0.08921101388162099,0.38671901774543044,0.05717745839105342
brain_area_50%,-0.19130388924733785,0.40516303676687926,-0.04334228381644875
brain_area_60%,-0.18893859606986174,0.4491915136860606,-0.02339510034220786
brain_area_80%,-0.2552266909956177,0.4119489812625037,-0.10135335697862811
brain_area_count,0.16148477827653618,0.023023391215301392,0.19031945343415735
brain_area_max,-0.09588327068585929,0.5239717120266726,0.0734727528615555
brain_area_mean,-0.18656432724583913,0.4538409445597543,-0.022636538102973006
brain_area_min,-0.24967127313729232,0.21073216410492068,-0.04759824612528759
brain_area_std,-0.14417257777303516,0.4974921359872832,0.005999582315458494
tiled_count_20%,0.1613620302117676,-0.1371808443538833,0.07404561544079591
tiled_count_40%,0.12721519512428864,-0.017001670432369866,0.0717694817154249
tiled_count_50%,0.06032444621938857,0.0020261050406289753,0.01536975740686318
tiled_count_60%,0.04608028588843199,0.03393377428390293,-0.00018317686510938686
tiled_count_80%,0.010377162004658054,0.056809517163484126,-0.04175038620462982
tiled_count_count,0.16148477827653618,0.023023391215301392,0.19031945343415735
tiled_count_max,-0.0061379970794884255,0.21981554090126582,0.0285141344388138
tiled_count_mean,0.021810863204481577,0.026920224239178864,-0.01842372665595726
tiled_count_min,-0.02267731819180742,-0.20998787699850305,-0.06746967630281357
tiled_count_std,-0.09673154738420119,0.22525787312994378,-0.06571049501132056
tiled_sum_20%,0.17181502049434258,-0.13775312132742057,0.08644226562125028
tiled_sum_40%,0.1294902708622084,0.00464758830119432,0.07920033931559875
tiled_sum_50%,0.0660683802747858,0.01730031244970199,0.02337430536808096
tiled_sum_60%,0.0588984198569073,0.031193104579656145,0.014241065697171281
tiled_sum_80%,0.019560079520241195,0.07088663049142233,-0.03413490898180286
tiled_sum_count,0.16148477827653618,0.023023391215301392,0.19031945343415735
tiled_sum_max,-0.0089125815540698,0.21989785162955788,0.034714600996617745
tiled_sum_mean,0.02673825661676006,0.037752373312402054,-0.010035701079334058
tiled_sum_min,-0.007536314134979374,-0.21359604457722609,-0.0581036721322271
tiled_sum_std,-0.083970398127901,0.21170086121060677,-0.05195434016897499
tumor_area_20%,-0.15862957641225245,0.14349170648683668,-0.11800601865434607
tumor_area_40%,-0.1872786667952365,0.24092608390497702,-0.12304942627724746
tumor_area_50%,-0.1896791966154783,0.28445121834888243,-0.13591441341977537
tumor_area_60%,-0.15486469584803636,0.3010941869518624,-0.12026510561253825
tumor_area_80%,0.08767342035338799,0.3066321453479747,0.08555071740405129
tumor_area_count,0.16148477827653618,0.023023391215301392,0.19031945343415735
tumor_area_max,0.14281591263013466,0.43316549408283245,0.21591214510461704
tumor_area_mean,-0.03173285127400297,0.3504308904329622,0.012289534391372904
tumor_area_min,-0.19715497668986717,-0.1863163755985424,-0.17161553535420465
tumor_area_std,0.18901920073135503,0.4177318363024077,0.23387667107319454
